tesorter2_name	pfam_id	pfam_acc	order	superfamily	clade	gene	n_repbase_hits	confidence	description
Class_II/DNA/Helitron/unknown/Helitron:Helitron-Rep	Helitron_like_N	PF14214.12	Helitron	unknown	Helitron	Rep	5	OK-evidence	Helitron helicase-like domain at N-terminus  [5/5 hits are Helitron; commonest type Helitron x5]
Class_II/DNA/TIR/EnSpm_CACTA/EnSpm_CACTA:EnSpm_CACTA-Transpos_assoc	Transpos_assoc	PF13963.12	TIR	EnSpm_CACTA	EnSpm_CACTA	Transpos_assoc	5	OK-evidence	Transposase-associated domain  [5/5 hits are TIR; commonest type EnSpm/CACTA x5]
Class_II/DNA/TIR/EnSpm_CACTA/EnSpm_CACTA:EnSpm_CACTA-Transposase_23	Transposase_23	PF03017.19	TIR	EnSpm_CACTA	EnSpm_CACTA	Transposase_23	1	OK	TNP1/EN/SPM transposase
Class_II/DNA/TIR/EnSpm_CACTA/EnSpm_CACTA:EnSpm_CACTA-Transposase_24	Transposase_24	PF03004.20	TIR	EnSpm_CACTA	EnSpm_CACTA	Transposase_24	16	OK-evidence	Plant transposase (Ptta/En/Spm family)  [16/16 hits are TIR; commonest type EnSpm/CACTA x16]
Class_II/DNA/TIR/EnSpm_CACTA/Plavaka:Plavaka-TPase	Plavaka	PF18759.8	TIR	EnSpm_CACTA	Plavaka	TPase	86	OK-evidence	Plavaka transposase  [86/86 hits are TIR; commonest type EnSpm/CACTA x86]
Class_II/DNA/TIR/EnSpm_CACTA/TIR:TIR-Transposase_21	Transposase_21	PF02992.21	TIR	EnSpm_CACTA	TIR	Transposase_21	0	REVIEW	Transposase family tnp2
Class_II/DNA/TIR/Kolobok/Mutator:Mutator-TPase	Mutator	PF20700.4	TIR	Kolobok	Mutator	TPase	53	OK-evidence	Mutator-like transposase  [53/53 hits are TIR; commonest type Kolobok x53]
Class_II/DNA/TIR/Merlin/TIR:TIR-DDE_Tnp_IS1595	DDE_Tnp_IS1595	PF12762.14	TIR	Merlin	TIR	DDE_Tnp_IS1595	0	REVIEW	ISXO2-like transposase domain
Class_II/DNA/TIR/MuDR_Mutator/MuDR_Mutator:MuDR_Mutator-MULE	MULE	PF10551.16	TIR	MuDR_Mutator	MuDR_Mutator	MULE	0	OK	MULE transposase domain
Class_II/DNA/TIR/MuDR_Mutator/MuDR_Mutator:MuDR_Mutator-Transposase_mut	Transposase_mut	PF00872.25	TIR	MuDR_Mutator	MuDR_Mutator	Transposase_mut	0	OK	Transposase, Mutator family
Class_II/DNA/TIR/MuDR_Mutator/TIR:TIR-DBD_Tnp_Mut	DBD_Tnp_Mut	PF03108.21	TIR	MuDR_Mutator	TIR	DBD_Tnp_Mut	4	REVIEW	MuDR family transposase
Class_II/DNA/TIR/P/P:P-RH	TNP-like_RNaseH_C	PF21789.4	TIR	P	P	RH	5	OK-evidence	TNP-like, RNase H C-terminal domain  [5/5 hits are TIR; commonest type P x5]
Class_II/DNA/TIR/P/TIR:TIR-Tnp_P_element	Tnp_P_element	PF12017.14	TIR	P	TIR	Tnp_P_element	1	REVIEW	Transposable element P transposase-like, HTH domain
Class_II/DNA/TIR/Tc1_Mariner/TIR:TIR-HTH_SB	HTH_SB	PF25787.2	TIR	Tc1_Mariner	TIR	HTH_SB	4	REVIEW	Sleeping Beauty transposase HTH domain
Class_II/DNA/TIR/Tc1_Mariner/Tc1_Mariner:Tc1_Mariner-DDE_1	DDE_1	PF03184.26	TIR	Tc1_Mariner	Tc1_Mariner	DDE_1	9	OK-evidence	DDE superfamily endonuclease  [9/9 hits are TIR; commonest type Mariner/Tc1 x9]
Class_II/DNA/TIR/Tc1_Mariner/Tc1_Mariner:Tc1_Mariner-DDE_3	DDE_3	PF13358.13	TIR	Tc1_Mariner	Tc1_Mariner	DDE_3	55	OK-evidence	DDE superfamily endonuclease  [55/55 hits are TIR; commonest type Mariner/Tc1 x55]
Class_II/DNA/TIR/Tc1_Mariner/Tc1_Mariner:Tc1_Mariner-HTH_48	HTH_48	PF17906.8	TIR	Tc1_Mariner	Tc1_Mariner	HTH_48	13	OK-evidence	HTH domain in Mos1 transposase  [13/13 hits are TIR; commonest type Mariner/Tc1 x13]
Class_II/DNA/TIR/Tc1_Mariner/Tc1_Mariner:Tc1_Mariner-HTH_Tnp_Tc3_2	HTH_Tnp_Tc3_2	PF01498.25	TIR	Tc1_Mariner	Tc1_Mariner	HTH_Tnp_Tc3_2	6	OK-evidence	Transposase  [6/6 hits are TIR; commonest type Mariner/Tc1 x6]
Class_II/DNA/TIR/Tc1_Mariner/Tc1_Mariner:Tc1_Mariner-HTH_Tnp_Tc5	HTH_Tnp_Tc5	PF03221.23	TIR	Tc1_Mariner	Tc1_Mariner	HTH_Tnp_Tc5	26	OK-evidence	Tc5 transposase DNA-binding domain  [26/26 hits are TIR; commonest type Mariner/Tc1 x26]
Class_II/DNA/TIR/Tc1_Mariner/Tc1_Mariner:Tc1_Mariner-Transposase_1	Transposase_1	PF01359.25	TIR	Tc1_Mariner	Tc1_Mariner	Transposase_1	5	OK-evidence	Transposase (partial DDE domain)  [5/5 hits are TIR; commonest type Mariner/Tc1 x5]
Class_II/DNA/TIR/Tc1_Mariner/Tc1_mariner:Tc1_mariner-HTH_Tnp_Tc3_1	HTH_Tnp_Tc3_1	PF11427.15	TIR	Tc1_Mariner	Tc1_mariner	HTH_Tnp_Tc3_1	1	OK	Tc3 transposase
Class_II/DNA/TIR/Tc1_Mariner/Tc1_mariner:Tc1_mariner-HTH_Tnp_Tc3_2_like	HTH_Tnp_Tc3_2_like	PF21517.4	TIR	Tc1_Mariner	Tc1_mariner	HTH_Tnp_Tc3_2_like	1	OK	Transposable element Tc3 transposase, HTH
Class_II/DNA/TIR/hAT/TIR:TIR-DBD_Tnp_Hermes	DBD_Tnp_Hermes	PF10683.16	TIR	hAT	TIR	DBD_Tnp_Hermes	0	REVIEW	Hermes transposase DNA-binding domain
Class_II/DNA/TIR/hAT/hAT:hAT-DIMER	Dimer_Tnp_hAT	PF05699.20	TIR	hAT	hAT	DIMER	66	OK-evidence	hAT family C-terminal dimerisation region  [66/66 hits are TIR; commonest type hAT x66]
Class_II/DNA/TIR/hAT/hAT:hAT-hAT_like_RNase_H	hAT-like_RNase-H	PF14372.13	TIR	hAT	hAT	hAT_like_RNase_H	0	OK	hAT-like transposase, RNase-H fold
Class_II/DNA/TIR/unknown/Tc1_mariner:Tc1_mariner-Transp_Tc5_C	Transp_Tc5_C	PF04236.21	TIR	unknown	Tc1_mariner	Transp_Tc5_C	1	OK	Tc5 transposase C-terminal domain
